TISSUE,CELL_LINE_NAME
Bladder,5637
Bladder,639-V
Bladder,647-V
Bladder,BFTC-905
Bladder,CAL-29
Bladder,DSH1
Bladder,HT-1197
Bladder,HT-1376
Bladder,J82
Bladder,KU-19-19
Bladder,LB831-BLC
Bladder,RT-112
Bladder,RT4
Bladder,SW1710
Bladder,SW780
Bladder,TCCSUP
Bladder,UM-UC-3
Bladder,VM-CUB-1
Bone,A673
Bone,CADO-ES1
Bone,CAL-72
Bone,CAL-78
Bone,CHSA8926
Bone,CS1
Bone,ES1
Bone,ES4
Bone,ES6
Bone,ES7
Bone,ES8
Bone,EW-1
Bone,EW-11
Bone,EW-13
Bone,EW-16
Bone,EW-18
Bone,EW-22
Bone,EW-24
Bone,EW-3
Bone,EW-7
Bone,G-292-CLONE-A141B1
Bone,H-EMC-SS
Bone,HOS
Bone,HUO-3N1
Bone,HUO9
Bone,MG-63
Bone,MHH-ES-1
Bone,NOS-1
Bone,NY
Bone,RH-1
Bone,SJSA-1
Bone,SK-ES-1
Bone,SAOS-2
Bone,TC-71
Bone,U-2-OS
Breast,AU565
Breast,BT-20
Breast,BT-474
Breast,BT-483
Breast,BT-549
Breast,CAL-120
Breast,CAL-148
Breast,CAL-51
Breast,CAL-85-1
Breast,CAMA-1
Breast,COLO-824
Breast,DU-4475
Breast,EFM-19
Breast,EFM-192A
Breast,EVSA-T
Breast,HCC1143
Breast,HCC1187
Breast,HCC1395
Breast,HCC1419
Breast,HCC1428
Breast,HCC1500
Breast,HCC1599
Breast,HCC1806
Breast,HCC1937
Breast,HCC1954
Breast,HCC2157
Breast,HCC38
Breast,HCC70
Breast,HDQ-P1
Breast,HS-578-T
Breast,JIMT-1
Breast,MCF7
Breast,MDA-MB-157
Breast,MDA-MB-175-VII
Breast,MDA-MB-231
Breast,MDA-MB-361
Breast,MDA-MB-415
Breast,MDA-MB-436
Breast,MDA-MB-453
Breast,MDA-MB-468
Breast,MFM-223
Breast,MRK-NU-1
Breast,OCUB-M
Breast,T47D
Breast,UACC-812
Breast,UACC-893
Breast,ZR-75-30
Central Nervous System,42-MG-BA
Central Nervous System,8-MG-BA
Central Nervous System,A172
Central Nervous System,AM-38
Central Nervous System,BECKER
Central Nervous System,CAS-1
Central Nervous System,D-263MG
Central Nervous System,D-283MED
Central Nervous System,D-392MG
Central Nervous System,DBTRG-05MG
Central Nervous System,DK-MG
Central Nervous System,DAOY
Central Nervous System,GAMG
Central Nervous System,GB-1
Central Nervous System,GI-1
Central Nervous System,H4
Central Nervous System,KALS-1
Central Nervous System,KINGS-1
Central Nervous System,KS-1
Central Nervous System,LN-18
Central Nervous System,LN-229
Central Nervous System,LN-405
Central Nervous System,LNZTA3WT4
Central Nervous System,M059J
Central Nervous System,MOG-G-CCM
Central Nervous System,MOG-G-UVW
Central Nervous System,ONS-76
Central Nervous System,PFSK-1
Central Nervous System,SF268
Central Nervous System,SF539
Central Nervous System,SK-MG-1
Central Nervous System,SK-PN-DW
Central Nervous System,SW1088
Central Nervous System,SW1783
Central Nervous System,T98G
Central Nervous System,U-118-MG
Central Nervous System,U-87-MG
Central Nervous System,U251
Central Nervous System,YH-13
Cervix,C-33-A
Cervix,C-4-I
Cervix,CA-SKI
Cervix,DOTC2-4510
Cervix,HT-3
Cervix,HELA
Cervix,ME-180
Cervix,MS751
Cervix,SISO
Cervix,SKG-IIIA
Cervix,SW756
Cervix,SIHA
Cervix,TC-YIK
Endometrium,AN3-CA
Endometrium,COLO-684
Endometrium,EN
Endometrium,ESS-1
Endometrium,HEC-1
Endometrium,KLE
Endometrium,MFE-280
Endometrium,MFE-296
Endometrium,MFE-319
Endometrium,RL95-2
Endometrium,SNG-M
Esophagus,COLO-680N
Esophagus,EC-GI-10
Esophagus,ESO26
Esophagus,ESO51
Esophagus,FLO-1
Esophagus,KYAE-1
Esophagus,KYSE-140
Esophagus,KYSE-150
Esophagus,KYSE-180
Esophagus,KYSE-220
Esophagus,KYSE-270
Esophagus,KYSE-410
Esophagus,KYSE-450
Esophagus,KYSE-50
Esophagus,KYSE-520
Esophagus,KYSE-70
Esophagus,OACM5-1
Esophagus,OACP4C
Esophagus,OE19
Esophagus,OE21
Esophagus,OE33
Esophagus,SK-GT-4
Esophagus,T-T
Esophagus,TE-1
Esophagus,TE-15
Esophagus,TE-4
Esophagus,TE-5
Esophagus,TE-6
Esophagus,TE-8
Esophagus,TE-9
Haematopoietic and Lymphoid,697
Haematopoietic and Lymphoid,A3-KAW
Haematopoietic and Lymphoid,A4-FUK
Haematopoietic and Lymphoid,ALL-PO
Haematopoietic and Lymphoid,ALL-SIL
Haematopoietic and Lymphoid,AMO-1
Haematopoietic and Lymphoid,ARH-77
Haematopoietic and Lymphoid,ATN-1
Haematopoietic and Lymphoid,BALL-1
Haematopoietic and Lymphoid,BC-1
Haematopoietic and Lymphoid,BE-13
Haematopoietic and Lymphoid,BL-41
Haematopoietic and Lymphoid,BV-173
